file_name,file_size (in bytes),encryption_time (in seconds),decryption_time (in seconds)
data_1.txt,40992,0.005995035171508789,0.8994853496551514
data_10.txt,16393,0.0029985904693603516,0.36779189109802246
data_11.txt,49204,0.006993770599365234,1.2543017864227295
data_12.txt,8193,0.0010001659393310547,0.2068626880645752
data_13.txt,32793,0.003997802734375,0.770559549331665
data_14.txt,8198,0.0010001659393310547,0.14691543579101562
data_15.txt,8197,0.0009999275207519531,0.17589902877807617
data_16.txt,24611,0.0029981136322021484,0.5596799850463867
data_17.txt,49177,0.005995988845825195,1.012420654296875
data_18.txt,24608,0.0029976367950439453,0.5496857166290283
data_19.txt,49203,0.007996797561645508,1.156339168548584
data_2.txt,49179,0.00699615478515625,1.0404236316680908
data_20.txt,16404,0.0019989013671875,0.3408052921295166
data_3.txt,49189,0.005995750427246094,1.1213603019714355
data_4.txt,32791,0.007994890213012695,0.8175303936004639
data_5.txt,49195,0.005995988845825195,1.2262990474700928
data_6.txt,40990,0.0049970149993896484,1.0434050559997559
data_7.txt,49180,0.008994340896606445,1.0923936367034912
data_8.txt,40987,0.00499725341796875,0.8604888916015625
data_9.txt,49191,0.005995988845825195,1.0713889598846436
